Pattern	POS
فعلان	n
فعلان	n
فعلعال	n
فعلعال	n
إفعال	n
أفعال	n
إفعلى	n
فعاعيل	n
فعاعيل	n
فوعالى	n
فعاعيل	n
فعفعيل	n
فعالين	n
فعالان	n
فيعلان	n
فيعلان	n
فيعلان	n
فيعلان	n
فيعلاء	n
فوعلان	n
مفعلان	n
مفعلى	n
تفعلوت	n
فواعيل	n
فياعيل	n
فعاليت	n
فعالي	n
فنعليل	n
أفعل 	n
أفعل 	n
إفعل	n
أفعل	n
إفعل	n
أفعل 	n
أفعل 	n
أفعل 	n
تفعل	n
تفعلة	n
تفعل	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعلة	n
تفعل	n
تفعل	n
تفعل	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
مفعل 	n
يفعل	n
نفعل	n
فاعل 	n
فاعل	n
فيعل 	n
فيعل 	n
فوعل 	n
فأعل	n
فنعل	n
فنعل	n
فنعل 	n
فيعل 	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعال	n
فعال	n
فعال	n
فعال	n
فعال	n
فعال	n
فعيل 	n
فعيل 	n
فعيل	n
فعيل	n
فعيل	n
فعول	n
فعول	n
فعول	n
فعول 	n
فعول 	n
فعول 	n
فعأل	n
فعنل	n
فعنلة	n
فعنلة	n
فعول	n
فعول	n
فعول	n
فعلة	n
فعلة	n
فعلة	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلل	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلى	n
فعلن	n
فعلن	n
فعلن	n
فعلن	n
فعلم	n
فعلم	n
فعلم	n
فعلم	n
فعلأ	n
فعلأ	n
فعلية	n
فعلية	n
فعلتة	n
فعلوة	n
فعلوة	n
فعلوة	n
مفعل	n
مفعل	n
مفاعل	n
منفعل	n
مفتعل	n
مفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعوعل	n
مفعول	n
مفعال	n
مفعلل	n
متفعلل	n
مفعنلل	n
مفعلل	n
فاعل	n
فعال	n
مفعال	n
فعول	n
فعيل	n
فعل	n
فعيل	n
مفعيل	n
فاعول	n
فعلة	n
فعالة	n
فاعلة	n
مفعول	n
مفعل	n
مفعل	n
مفاعل	n
منفعل	n
مفتعل	n
مفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعوعل	n
مفعول	n
مفعال	n
مفعلل	n
متفعلل	n
مفعنلل	n
مفعلل	n
مفعل	n
مفعل	n
مفعلة	n
مفعل	n
مفعل	n
مفاعل	n
منفعل	n
مفتعل	n
مفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعوعل	n
مفعول	n
مفعال	n
مفعل	n
مفعلة	n
مفعال	n
فعالة	n
فعال	n
فاعلة	n
فاعول	n
فاعولة	n
فعال	n
مفعل	n
مفعلة	n
مفعل	n
أفعل	n
فعلى	n
أفعل	n
فعلاء	n
فعلان	n
فعلى	n
فعلانة	n
فعيل	n
فعيلة	n
فعل	n
فعلة	n
فعل	n
فعلة	n
فعل	n
فعول	n
فعال	n
فعلان	n
فعلة	n
فعل	n
فعلة	n
فعل	n
فعالة	n
فعال	n
فعيل	n
فعولة	n
فعال	n
فعالة	n
إفعال	n
إفعلة	n
إفعلة	n
تفعيل	n
تفعلة	n
تفعلة	n
تفعلة	n
مفاعلة	n
فعال	n
انفعال	n
افتعال	n
افعلال	n
تفاعل	n
تفعل	n
استفعال	n
استفعلة	n
افعيعال	n
افعوال	n
افعيلال	n
فعللة	n
فعلال	n
تفعلل	n
افعنلال	n
افعلال	n
مفعل	n
مفعل	n
مفعلة	n
مفعل	n
مفعل	n
مفاعل	n
منفعل	n
مفتعل	n
مفعل	n
متفاعل	n
متفعل	n
مستفعل	n
مفعوعل	n
مفعول	n
مفعال	n
مفعلل	n
متفعلل	n
مفعنلل	n
مفعلل	n
فعلة	n
إفعالة	n
إفعلة	n
إفعلة	n
تفعيلة	n
تفعلة	n
تفعلة	n
تفعلة	n
مفاعلة	n
انفعالة	n
افتعالة	n
افعلالة	n
تفاعلة	n
تفعلة	n
استفعالة	n
استفعلة	n
استفعلة	n
افعيعالة	n
افعوالة	n
افعيلالة	n
فعللة	n
تفعللة	n
افعنلالة	n
افعلالة	n
فعلة	n

