الكلمة الأصلية	الجذر	المصدر	النوع
وطعامه	طعم	طعام	اسم
وطعامكم	طعم	طعام	اسم
طعام	طعم	طعام	اسم
طعاما	طعم	طعام	اسم
طعامه	طعم	طعام	اسم
طعامك	طعم	طعام	اسم
طعمه	طعم	طعم	اسم
طعمتم	طعم	طعم	فعل
طعموا	طعم	طعم	فعل
أنطعم	طعم	أطعم	فعل
نطعم	طعم	أطعم	فعل
نطعمكم	طعم	أطعم	فعل
يطعم	طعم	أطعم	فعل
يطعمه	طعم	طعم	فعل
يطعمها	طعم	طعم	فعل
يطعمني	طعم	أطعم	فعل
يطعمون	طعم	أطعم	فعل
ويطعمون	طعم	أطعم	فعل
وطعنا	طعن	طعن	اسم
وطعنوا	طعن	طعن	فعل
وأطغى	طغي	أطغى	فعل
أطغيته	طغي	طغى	فعل
تطغوا	طغي	طغى	فعل
الطاغوت	طغي	طاغوت	اسم
بالطاغوت	طغي	طاغوت	اسم
والطاغوت	طغي	طاغوت	اسم
للطاغين	طغي	طاغي	اسم
طاغون	طغي	طاغي	اسم
طاغين	طغي	طاغي	اسم
بالطاغية	طغي	طاغية	اسم
طغوا	طغي	طغى	فعل
بطغواها	طغي	طغوى	اسم
طغى	طغي	طغى	فعل
طغيانا	طغي	طغيان	اسم
طغيانا	طغي	طغيان	اسم
طغيانهم	طغي	طغيان	اسم
ليطغى	طغي	طغى	فعل
يطغى	طغي	طغى	فعل
ليطفئوا	طفء	أطفأ	فعل
أطفأها	طفء	أطفأ	فعل
يطفءوا	طفء	أطفأ	فعل
للمطففين	طفف	مطفف	اسم
فطفق	طفق	طفق	فعل
وطفقا	طفق	طفقذ	فعل
الأطفال	طفل	طفل	اسم
الطفل	طفل	طفل	اسم
طفلا	طفل	طفل	اسم
يطلبه	طلب	طلب	فعل
الطالب	طلب	طالب	اسم
طلبا	طلب	طلب	اسم
والمطلوب	طلب	مطلوب	اسم
وطلح	طلح	طلح	اسم
فاطلع	طلع	اطلع	فعل
اطلعت	طلع	اطلع	فعل
فأطلع	طلع	اطلع	فعل
تطلع	طلع	اطلع	فعل
طلع	طلع	طلع	فعل
طلعها	طلع	طلع	اسم
طلعت	طلع	طلع	فعل
طلوع	طلع	طلوع	اسم
مطلع	طلع	مطلع	اسم
مطلعون	طلع	مطلع	فعل
ليطلعكم	طلع	اطّلع	فعل
وانطلق	طلق	انطلق	فعل
فانطلقا	طلق	انطلق	فعل
انطلقتم	طلق	انطلق	فعل
انطلقوا	طلق	انطلق	فعل
فانطلقوا	طلق	انطلق	فعل
الطلاق	طلق	طلاق	اسم
طلقها	طلق	طلق	فعل
طلقكن	طلق	طلق	فعل
طلقتم	طلق	طلق	فعل
طلقتموهن	طلق	طلق	فعل
فطلقوهن	طلق	طلق	فعل
وللمطلقات	طلق	مطلقة	اسم
والمطلقت	طلق	مطلقة	اسم
ينطلق	طلق	انطلق	فعل
فطل	طلل	طل	اسم
اطمأن	طمءن	اطمأن	فعل
اطمأننتم	طمءن	اطمأن	فعل
واطمأنوا	طمءن	اطمأن	فعل
تطمئن	طمءن	اطمأن	فعل
ولتطمئن	طمءن	اطمأن	فعل
وتطمئن	طمءن	اطمأن	فعل
مطمئن	طمءن	مطمئن	اسم
مطمئنين	طمءن	مطمئن	اسم
مطمئنة	طمءن	مطمئنة	اسم
المطمئنة	طمءن	مطمئنة	اسم
ليطمئن	طمءن	اطمأن	فعل
يطمثهن	طمث	طمث	فعل
اطمس	طمس	طمس	فعل
طمست	طمس	طمس	فعل
لطمسنا	طمس	طمس	فعل
فطمسنا	طمس	طمس	فعل
نطمس	طمس	طمس	فعل
أفتطمعون	طمع	طمع	فعل
وطمعا	طمع	طمع	اسم
ونطمع	طمع	طمع	فعل
نطمع	طمع	طمع	فعل
أيطمع	طمع	طمع	فعل
يطمع	طمع	طمع	فعل
فيطمع	طمع	طمع	فعل
يطمعون	طمع	طمع	فعل
طه	طه	طه	فواتيح
فاطهروا	طهر	اطهّر	فعل
أطهر	طهر	أطهر	فعل
وأطهر	طهر	أطهر	فعل
تطهرهم	طهر	طهّر	فعل
تطهرن	طهر	تطهر	فعل
تطهيرا	طهر	تطهير	اسم
فطهر	طهر	طهر	فعل
وطهر	طهر	طهر	فعل
وطهرك	طهر	طهر	فعل
طهرا	طهر	طهرا	اسم
طهورا	طهر	طهور	اسم
المتطهرين	طهر	متطهر	اسم
المطهرين	طهر	مطهر	اسم
المطهرون	طهر	مطهر	اسم
ومطهرك	طهر	مطهر	اسم
مطهرة	طهر	مطهرة	اسم
يتطهروا	طهر	تطهر	فعل
يتطهرون	طهر	تطهر	فعل
ليطهركم	طهر	طهّر	فعل
يطهر	طهر	طهّر	فعل
ويطهركم	طهر	طهّر	فعل
يطهرن	طهر	طهر	فعل
كالطود	طود	طود	اسم
أطوارا	طور	طور	اسم
الطور	طور	طور	اسم
والطور	طور	الطور	اسم
وطور	طور	طور	اسم
تطوع	طوع	تطوع	فعل
للطائفين	طوف	طائف	اسم
طائف	طوف	طائف	اسم
طائف	طوف	طائف	اسم
الطائفتين	طوف	طائفة	اسم
وطائفة	طوف	طائفة	اسم
طائفة	طوف	طائفة	اسم
طائفتان	طوف	طائفة	اسم
طائفتين	طوف	طائفة	اسم
فطاف	طوف	طاف	فعل
طوافون	طوف	طواف	اسم
الطوفان	طوف	طوفان	اسم
يطاف	طوف	طاف	فعل
ويطاف	طوف	طاف	فعل
يطوف	طوف	طاف	فعل
ويطوف	طوف	طاف	فعل
يطوفون	طوف	طاف	فعل
وليطوفوا	طوف	طاف	فعل
طاقة	طوق	طاقة	اسم
يطيقونه	طوق	أطاق	فعل
سيطوقون	طوق	طوّق	فعل
أفطال	طول	طال	فعل
الطول	طول	طول	اسم
طال	طول	طال	اسم
طولا	طول	طول	اسم
طويلا	طول	طويل	اسم
فتطاول	طول	تطاول	فعل
فطال	طول	طال	فعل
مطويات	طوي	مطوية	اسم
طوى	طوي	طوى	اسم
كطي	طوي	طي	اسم
نطوي	طوي	طوى	فعل
للطيبات	طيب	طيبة	اسم
والطيبات	طيب	طيبة	اسم
طيبات	طيب	طيبة	اسم
الطيبات	طيب	طيبة	اسم
للطيبين	طيب	طيب	اسم
الطيب	طيب	طيب	اسم
بالطيب	طيب	طيب	اسم
طاب	طيب	طاب	فعل
طبتم	طيب	طاب	فعل
طبن	طيب	طاب	فعل
طيبا	طيب	طيب	اسم
طيباتكم	طيب	طيبة	اسم
طيبين	طيب	طيب	اسم
طوبى	طيب	طوبى	اسم
والطيب	طيب	طيب	اسم
والطيبون	طيب	طيب	اسم
طائر	طير	طائر	اسم
طائره	طير	طائر	اسم
طائرهم	طير	طائر	اسم
الطير	طير	طير	اسم
اطيرنا	طير	اطير	فعل
طير	طير	طير	اسم
طيرا	طير	طير	اسم
طائركم	طير	طائر	اسم
تطيرنا	طير	تطير	فعل
يطير	طير	طار	فعل
يطيروا	طير	طار	فعل
والطير	طير	طير	اسم
استطاع	طيع	استطاع	فعل
استطاعوا	طيع	استطاع	فعل
استطعت	طيع	استطاع	فعل
استطعتم	طيع	استطاع	فعل
اسطاعوا	طيع	استطاع	فعل
أطاع	طيع	أطاع	فعل
أطاعونا	طيع	أطاع	فعل
فأطاعوه	طيع	أطاع	فعل
أطعتم	طيع	أطاع	فعل
أطعتموهم	طيع	أطاع	فعل
أطعناكم	طيع	أطاع	فعل
وأطعن	طيع	أطاع	فعل
أطعنا	طيع	أطاع	فعل
وأطعنا	طيع	أطاع	فعل
أطيعوا	طيع	أطاع	فعل
وأطيعوا	طيع	أطاع	فعل
وأطيعون	طيع	أطاع	فعل
تستطع	طيع	استطاع	فعل
تستطيع	طيع	استطاع	فعل
تستطيعوا	طيع	استطاع	فعل
تستطيعون	طيع	استطاع	فعل
تسطع	طيع	استطاع	فعل
تطع	طيع	أطاع	فعل
تطعه	طيع	أطاع	فعل
تطعهما	طيع	أطاع	فعل
تطيعوا	طيع	أطاع	فعل
تطيعوه	طيع	أطاع	فعل
طائعين	طيع	طائع	اسم
طاعة	طيع	طاعة	اسم
طوعا	طيع	طوع	اسم
فطوعت	طيع	طوع	فعل
المطوعين	طيع	مطوع	اسم
سنطيعكم	طيع	أطاع	فعل
نطيع	طيع	أطاع	فعل
يستطع	طيع	استطاع	فعل
يستطيع	طيع	استطاع	فعل
يستطيعون	طيع	استطاع	فعل
ليطاع	طيع	أطاع	فعل
يطاع	طيع	أطاع	فعل
يطع	طيع	أطاع	فعل
يطيعكم	طيع	أطاع	فعل
ويطيعون	طيع	أطاع	فعل
الطين	طين	طين	اسم
طين	طين	طين	اسم
طينا	طين	طين	اسم
ظعنكم	ظعن	ظعن	اسم
أظفركم	ظفر	أظفر	فعل
ظفر	ظفر	ظفر	فعل
وظلها	ظلل	ظل	اسم
كالظلل	ظلل	ظل	اسم
الظلة	ظلل	ظلة	اسم
فيظللن	ظلل	ظلّ	فعل
أظلم	ظلم	أظلم	فعل
للظالمين	ظلم	ظالم	اسم
لظالمين	ظلم	ظالم	اسم
لظالمون	ظلم	ظالم	اسم
الظالمون	ظلم	ظالم	اسم
الظالم	ظلم	ظالم	اسم
بالظالمين	ظلم	ظالم	اسم
ظالمين	ظلم	ظالم	اسم
ظالمون	ظلم	ظالم	اسم
ظالمي	ظلم	ظالم	اسم
والظالمون	ظلم	ظالم	اسم
وظالم	ظلم	ظالم	اسم
ظالمة	ظلم	ظالمة	اسم
بظلام	ظلم	ظلام	اسم
بظلمهم	ظلم	ظلم	اسم
ظلما	ظلم	ظلم	اسم
ظلمهم	ظلم	ظلم	اسم
ظلمك	ظلم	ظلم	اسم
فبظلم	ظلم	ظلم	اسم
وظلما	ظلم	ظلم	اسم
الظلمات	ظلم	ظلمة	اسم
ظلمات	ظلم	ظلمة	اسم
كظلمات	ظلم	ظلمة	اسم
ظلمتم	ظلم	ظلم	فعل
ظلمنهم	ظلم	ظلم	فعل
ظلموا	ظلم	ظلم	فعل
ظلمونا	ظلم	ظلم	فعل
فظلموا	ظلم	ظلم	فعل
لظلوم	ظلم	ظلوم	اسم
ظلوما	ظلم	ظلوم	اسم
مظلما	ظلم	مظلم	اسم
مظلوما	ظلم	مظلوم	اسم
ليظلمهم	ظلم	ظلم	فعل
الظمآن	ظمء	ظمآن	اسم
لأظنه	ظنن	ظن	فعل
لأظنك	ظنن	ظن	فعل
وتظنون	ظنن	ظنّ	فعل
الظن	ظنن	ظن	اسم
الظنونا	ظنن	ظن	اسم
فظن	ظنن	ظن	فعل
ظنا	ظنن	ظنا	فعل
ظننا	ظنن	ظننا	اسم
ظننت	ظنن	ظننت	اسم
ظننتم	ظنن	ظننتم	فعل
وظننتم	ظنن	ظن	فعل
فظنوا	ظنن	ظن	فعل
وظنوا	ظنن	ظن	فعل
لنظنك	ظنن	ظنّ	فعل
نظنك	ظنن	ظنّ	فعل
نظنكم	ظنن	ظنّ	فعل
يظنون	ظنن	ظنّ	فعل
وأظهره	ظهر	أظهر	فعل
تظاهرا	ظهر	تظاهر	فعل
تظاهر	ظهر	تظاهر	فعل
بظاهر	ظهر	ظاهر	اسم
ظاهر	ظهر	ظاهر	اسم
ظاهرا	ظهر	ظاهر	اسم
ظاهرين	ظهر	ظاهر	اسم
والظاهر	ظهر	ظاهر	اسم
وظاهره	ظهر	ظاهر	اسم
ظاهرة	ظهر	ظاهرة	اسم
ظاهروهم	ظهر	ظاهر	فعل
وظاهروا	ظهر	ظاهر	فعل
ظهره	ظهر	ظهر	اسم
ظهرها	ظهر	ظهر	اسم
ظهرك	ظهر	ظهر	اسم
ظهوره	ظهر	ظهر	اسم
ظهورهم	ظهر	ظهر	اسم
ظهورهما	ظهر	ظهر	اسم
ظهورها	ظهر	ظهر	اسم
ظهوركم	ظهر	ظهر	اسم
وظهر	ظهر	ظهر	اسم
وظهورهم	ظهر	ظهر	اسم
ظهريا	ظهر	ظهري	اسم
ظهير	ظهر	ظهير	اسم
ظهيرا	ظهر	ظهير	اسم
الظهيرة	ظهر	ظهيرة	اسم
يظاهروا	ظهر	اظّاهر	فعل
ليظهره	ظهر	أظهر	فعل
يظهر	ظهر	أظهر	فعل
يظهروه	ظهر	أظهر	فعل
يظهرون	ظهر	ظهر	فعل
لعاد	عود	عاد	اسم
بعاد	عود	عاد	اسم
عادا	عود	عاد	اسم
وعاد	عود	عاد	اسم
وعادا	عود	عاد	اسم
يعبؤا	عبء	عبئ	فعل
عبثا	عبث	عبث	اسم
فاعبد	عبد	عبد	فعل
فاعبده	عبد	عبد	فعل
فاعبدني	عبد	عبد	فعل
واعبد	عبد	عبد	فعل
اعبدوا	عبد	عبد	فعل
اعبدوني	عبد	عبد	فعل
فاعبدوه	عبد	عبد	فعل
فاعبدون	عبد	عبد	فعل
واعبدوا	عبد	عبد	فعل
واعبدوه	عبد	عبد	فعل
أعبد	عبد	عبد	فعل
تعبد	عبد	عبد	فعل
أتعبدون	عبد	عبد	فعل
أفتعبدون	عبد	عبد	فعل
تعبدون	عبد	عبد	فعل
للعابدين	عبد	عابد	اسم
العابدين	عبد	عابد	اسم
العابدون	عبد	عابد	اسم
عابد	عبد	عابد	اسم
عابدين	عبد	عابد	اسم
عابدون	عبد	عابد	اسم
لعبدته	عبد	عبادة	اسم
بعبادة	عبد	عبادة	اسم
بعبادتهم	عبد	عبادة	اسم
عبادتي	عبد	عبادة	اسم
عبادته	عبد	عبادة	اسم
عبادتكم	عبد	عبادة	اسم
للعباد	عبد	عبد	اسم
للعبيد	عبد	عبد	اسم
لعبادي	عبد	عبد	اسم
لعباده	عبد	عبد	اسم
لعبادنا	عبد	عبد	اسم
العباد	عبد	عبد	اسم
العبد	عبد	عبد	اسم
بالعباد	عبد	عبد	اسم
بالعبد	عبد	عبد	اسم
بعبادي	عبد	عبد	اسم
بعباده	عبد	عبد	اسم
بعبده	عبد	عبد	اسم
ياعباد	عبد	عبد	اسم
ياعبادي	عبد	عبد	اسم
عباد	عبد	عبد	اسم
عبادا	عبد	عبد	اسم
عبادي	عبد	عبد	اسم
عباده	عبد	عبد	اسم
عبادنا	عبد	عبد	اسم
عبادك	عبد	عبد	اسم
عبادكم	عبد	عبد	اسم
عبد	عبد	عبد	اسم
عبدا	عبد	عبد	اسم
عبده	عبد	عبد	اسم
عبدنا	عبد	عبد	اسم
ولعبد	عبد	عبد	اسم
والعبد	عبد	عبد	اسم
وعباد	عبد	عبد	اسم
عبدت	عبد	عبد	فعل
عبدتم	عبد	عبد	فعل
عبدناهم	عبد	عبد	فعل
لنعبد	عبد	عبد	فعل
نعبد	عبد	عبد	فعل
نعبدهم	عبد	عبد	فعل
يعبد	عبد	عبد	فعل
ليعبدوا	عبد	عبد	فعل
ليعبدون	عبد	عبد	فعل
يعبدوها	عبد	عبد	فعل
فليعبدوا	عبد	عبد	فعل
يعبدونني	عبد	عبد	فعل
ويعبدون	عبد	عبد	فعل
لعبرة	عبر	عبرة	اسم
تعبرون	عبر	عبر	فعل
عابري	عبر	عابر	اسم
عبرة	عبر	عبرة	اسم
فاعتبروا	عبر	اعتبر	فعل
عبس	عبس	عبس	فعل
عبوسا	عبس	عبوس	اسم
وعبقري	عبقر	عبقري	اسم
المعتبين	عتب	معتب	اسم
يستعتبوا	عتب	استعتب	فعل
يستعتبون	عتب	استعتب	فعل
وأعتدت	عتد	اعتد	فعل
أعتدنا	عتد	أعتد	فعل
عتيد	عتد	عتيد	اسم
وأعتدنا	عتد	أعتد	فعل
العتيق	عتق	عتيق	اسم
عتل	عتل	عتل	اسم
فاعتلوه	عتل	عتل	فعل
عاتية	عتو	عاتية	اسم
عتت	عتو	عتا	فعل
عتو	عتو	عتا	فعل
عتوا	عتو	عتا	فعل
فعتوا	عتو	عتا	فعل
وعتو	عتو	عتا	فعل
وعتوا	عتو	عتو	اسم
أعثرنا	عثر	أعثر	فعل
عثر	عثر	عثر	اسم
تعثوا	عثو	عثا	فعل
أعجبك	عجب	أعجب	فعل
أعجبكم	عجب	أعجب	فعل
أعجبتكم	عجب	أعجب	فعل
تعجبك	عجب	أعجب	فعل
تعجبون	عجب	عجب	فعل
أتعجبين	عجب	عجب	فعل
عجاب	عجب	عجاب	اسم
عجبا	عجب	عجب	اسم
أوعجبتم	عجب	عجب	فعل
عجبوا	عجب	عجب	فعل
عجيب	عجب	عجيب	اسم
يعجب	عجب	أعجب	فعل
يعجبك	عجب	أعجب	فعل
أعجزت	عجز	عجز	فعل
عجوز	عجز	عجوز	اسم
عجوزا	عجز	عجوز	اسم
معجزي	عجز	معجز	اسم
معجزين	عجز	معجز	اسم
بمعجز	عجز	معجز	اسم
بمعجزين	عجز	معجز	اسم
نعجز	عجز	أعجز	فعل
نعجزه	عجز	أعجز	فعل
ليعجزه	عجز	أعجز	فعل
يعجزون	عجز	أعجز	فعل
أعجاز	عجز	عجز	اسم
عجاف	عجف	عجفاء	اسم
استعجالهم	عجل	استعجال	اسم
استعجلتم	عجل	استعجل	فعل
أعجلك	عجل	أعجل	فعل
تستعجل	عجل	استعجل	فعل
تستعجلوه	عجل	استعجل	فعل
تستعجلون	عجل	استعجل	فعل
لتعجل	عجل	عجل	فعل
تعجل	عجل	عجل	فعل
العاجلة	عجل	عاجلة	اسم
لعجل	عجل	عجل	اسم
العجل	عجل	عجل	اسم
عجلا	عجل	عجل	اسم
فعجل	عجل	عجل	فعل
وعجلت	عجل	عجل	فعل
أعجلتم	عجل	عجل	فعل
عجلنا	عجل	عجل	فعل
عجولا	عجل	عجول	اسم
يستعجل	عجل	استعجل	فعل
يستعجلون	عجل	استعجل	فعل
يستعجلونك	عجل	استعجل	فعل
ويستعجلونك	عجل	استعجل	فعل
يعجل	عجل	عجّل	فعل
آعجمي	عجم	أعجمي	اسم
أعجمي	عجم	أعجمي	اسم
أعجميا	عجم	أعجمي	اسم
الأعجمين	عجم	أعجمي	اسم
بعدتهم	عدد	عدة	اسم
عدتهم	عدد	عدة	اسم
عدد	عدد	عدد	اسم
معدودة	عدد	معدودة	اسم
لأعدوا	عدد	أعدّ	فعل
أعد	عدد	أعد	فعل
أعدت	عدد	أعد	فعل
لعدتهن	عدد	عدة	اسم
معدود	عدد	معدود	اسم
العادين	عدد	عادي	اسم
العدة	عدد	عدة	اسم
تعتدونها	عدد	اعتدى	فعل
تعدون	عدد	عدا	فعل
فعدة	عدد	عدة	اسم
فعدتهن	عدد	عدة	اسم
وأعد	عدد	أعدّ	فعل
وأعدوا	عدد	أعدّ	فعل
وعدسها	عدس	عدس	اسم
اعدلوا	عدل	عدل	فعل
فاعدلوا	عدل	عدل	فعل
لأعدل	عدل	عدل	فعل
تعدلوا	عدل	عدل	فعل
بالعدل	عدل	عدل	اسم
فعدلك	عدل	عدل	اسم
وعدلا	عدل	عدل	اسم
يعدلون	عدل	عدل	فعل
عدل	عدل	عدل	اسم
وعدو	عدو	عدو	اسم
وعدوكم	عدو	عدو	اسم
عدوان	عدو	عدوان	اسم
عدوانا	عدو	عدوان	اسم
والعدوان	عدو	عدوان	اسم
لتعتدوا	عدو	اعتدى	فعل
أعداء	عدو	عدو	اسم
المعتدين	عدو	معتدي	اسم
الأعداء	عدو	عدو	اسم
العادون	عدو	عادي	اسم
العداوة	عدو	عداوة	اسم
العدوة	عدو	عدوة	اسم
اعتدى	عدو	اعتدى	فعل
اعتدينا	عدو	اعتدى	فعل
بأعدائكم	عدو	عدو	اسم
بالمعتدين	عدو	معتدي	اسم
تعتدوا	عدو	اعتدى	فعل
تعتدوها	عدو	اعتدى	فعل
تعدوا	عدو	عدّ	فعل
يتعد	عدو	تعدى	فعل
يعتدون	عدو	اعتدى	فعل
يعدون	عدو	عدا	فعل
عاد	عدو	عاد	فعل
عاديتم	عدو	عادى	فعل
عادون	عدو	عادي	اسم
عدو	عدو	عدو	اسم
عدوه	عدو	عدو	اسم
عدوهم	عدو	عدو	اسم
عدوكم	عدو	عدو	اسم
فاعتدوا	عدو	اعتدى	فعل
والعاديات	عدو	عادية	اسم
ويتعد	عدو	تعدى	فعل
أعذبه	عذب	عذب	فعل
فأعذبهم	عذب	عذب	فعل
لأعذبنه	عذب	عذب	فعل
تعذب	عذب	عذب	فعل
تعذبهم	عذب	عذب	فعل
أفبعذابنا	عذب	عذاب	اسم
العذاب	عذب	عذاب	اسم
بالعذاب	عذب	عذاب	اسم
بعذاب	عذب	عذاب	اسم
بعذابكم	عذب	عذاب	اسم
عذاب	عذب	عذاب	اسم
عذابا	عذب	عذاب	اسم
عذابي	عذب	عذاب	اسم
عذابه	عذب	عذاب	اسم
عذابهما	عذب	عذاب	اسم
عذابها	عذب	عذاب	اسم
ولعذاب	عذب	عذاب	اسم
والعذاب	عذب	عذاب	اسم
وعذاب	عذب	عذاب	اسم
كعذاب	عذب	عذاب	اسم
وعذابا	عذب	عذابا	اسم
عذب	عذب	عذب	فعل
وعذب	عذب	عذب	فعل
لعذبنا	عذب	عذب	فعل
وعذبنها	عذب	عذب	فعل
معذبين	عذب	معذب	اسم
معذبهم	عذب	معذب	اسم
معذبوها	عذب	معذب	اسم
المعذبين	عذب	معذب	اسم
بمعذبين	عذب	معذب	اسم
سنعذبهم	عذب	عذب	فعل
نعذبه	عذب	عذب	فعل
ليعذب	عذب	عذب	فعل
ليعذبهم	عذب	عذب	فعل
يعذب	عذب	عذب	فعل
يعذبه	عذب	عذب	فعل
يعذبهم	عذب	عذب	فعل
يعذبنا	عذب	عذب	فعل
يعذبكم	عذب	عذب	فعل
فيعذبه	عذب	عذب	فعل
فيعذبهم	عذب	عذب	فعل
ويعذب	عذب	عذب	فعل
تعتذروا	عذر	اعتذر	فعل
عذرا	عذر	عذر	اسم
المعذرون	عذر	معذر	اسم
معاذيره	عذر	معذرة	اسم
معذرة	عذر	معذرة	اسم
معذرتهم	عذر	معذرة	اسم
يعتذرون	عذر	اعتذر	فعل
فيعتذرون	عذر	اعتذر	فعل
الأعراب	عرب	أعرابي	اسم
عربي	عرب	عربي	اسم
عربيا	عرب	عربي	اسم
وعربي	عرب	عربي	اسم
عربا	عرب	عروب	اسم
الأعرج	عرج	أعرج	اسم
المعارج	عرج	معراج	اسم
ومعارج	عرج	معراج	اسم
يعرج	عرج	عرج	فعل
يعرجون	عرج	عرج	فعل
كالعرجون	عرجن	عرجون	اسم
والمعتر	عرر	معتر	اسم
العرش	عرش	عرش	اسم
بعرشها	عرش	عرش	اسم
عرش	عرش	عرش	اسم
عرشه	عرش	عرش	اسم
عرشها	عرش	عرش	اسم
عرشك	عرش	عرش	اسم
عروشها	عرش	عرش	اسم
معروشات	عرش	معروش	اسم
يعرشون	عرش	عرش	فعل
أعرض	عرض	أعرض	فعل
فأعرض	عرض	أعرض	فعل
وأعرض	عرض	أعرض	فعل
أعرضتم	عرض	أعرض	فعل
أعرضوا	عرض	أعرض	فعل
فأعرضوا	عرض	أعرض	فعل
إعراضا	عرض	إعراض	اسم
إعراضهم	عرض	إعراض	اسم
تعرض	عرض	أعرض	فعل
تعرضن	عرض	أعرض	فعل
لتعرضوا	عرض	أعرض	فعل
تعرضوا	عرض	أعرض	فعل
تعرضون	عرض	أعرض	فعل
عارض	عرض	عارض	اسم
عارضا	عرض	عارض	اسم
عرض	عرض	عرض	اسم
عرضا	عرض	عرض	اسم
عرضهم	عرض	عرض	اسم
عرضها	عرض	عرض	اسم
كعرض	عرض	عرض	اسم
عرضة	عرض	عرضة	اسم
عرضتم	عرض	عرّض	فعل
عرضنا	عرض	عرض	فعل
وعرضوا	عرض	عرض	فعل
عريض	عرض	عريض	اسم
معرضين	عرض	معرض	اسم
معرضون	عرض	معرض	اسم
يعرض	عرض	عرض	فعل
يعرضوا	عرض	عرض	فعل
يعرضون	عرض	عرض	فعل
فاعترفنا	عرف	اعترف	فعل
اعترفوا	عرف	اعترف	فعل
لتعارفوا	عرف	تعارف	فعل
تعرف	عرف	عرف	فعل
تعرفهم	عرف	عرف	فعل
ولتعرفنهم	عرف	عرف	فعل
فتعرفونها	عرف	عرف	فعل
الأعراف	عرف	عرف	اسم
بالعرف	عرف	عرف	اسم
عرفها	عرف	عرف	فعل
فعرفهم	عرف	عرف	فعل
عرفت	عرف	عرفات	اسم
فلعرفتهم	عرف	عرفت	اسم
عرفوا	عرف	عرفوا	فعل
معروف	عرف	معروف	اسم
معروفا	عرف	معروف	اسم
المعروف	عرف	معروف	اسم
بمعروف	عرف	معروف	اسم
بالمعروف	عرف	معروف	اسم
معروفة	عرف	معروفة	اسم
يتعارفون	عرف	تعارف	فعل
يعرف	عرف	عرف	فعل
يعرفن	عرف	عرف	فعل
يعرفوا	عرف	عرف	فعل
يعرفون	عرف	عرف	فعل
يعرفونه	عرف	عرف	فعل
يعرفونهم	عرف	عرف	فعل
يعرفونها	عرف	عرف	فعل
العرم	عرم	عرم	اسم
بالعروة	عرو	عروة	اسم
اعتراك	عري	اعترى	فعل
بالعراء	عري	عراء	اسم
تعرى	عري	عرى	فعل
يعزب	عزب	عزب	فعل
وتعزروه	عزر	عزّر	فعل
وعزرتموهم	عزر	عزّر	فعل
وعزروه	عزر	عزّر	فعل
أعز	عزز	أعز	فعل
وأعز	عزز	أعز	فعل
وتعز	عزز	أعز	فعل
عزا	عزز	عز	اسم
وعزني	عزز	عز	فعل
العزة	عزز	عزة	اسم
بعزة	عزز	عزة	اسم
عزة	عزز	عزة	اسم
فبعزتك	عزز	عزة	اسم
فعززنا	عزز	عززنا	فعل
أعزة	عزز	عزيز	اسم
العزيز	عزز	عزيز	اسم
بعزيز	عزز	عزيز	اسم
عزيز	عزز	عزيز	اسم
عزيزا	عزز	عزيز	اسم
اعتزلهم	عزل	اعتزل	فعل
اعتزلتموهم	عزل	اعتزل	فعل
اعتزلوكم	عزل	اعتزل	فعل
فاعتزلوا	عزل	اعتزل	فعل
فاعتزلون	عزل	اعتزل	فعل
وأعتزلكم	عزل	اعتزل	فعل
معزل	عزل	معزل	اسم
لمعزولون	عزل	معزول	اسم
يعتزلوكم	عزل	اعتزل	فعل
تعزموا	عزم	عزم	فعل
العزم	عزم	عزم	اسم
عزم	عزم	عزم	فعل
عزما	عزم	عزم	فعل
عزمت	عزم	عزمت	اسم
عزموا	عزم	عزموا	فعل
عزين	عزو	عزين	اسم
عزير	عزير	عزير	اسم
تعاسرتم	عسر	تعاسر	فعل
العسر	عسر	عسر	اسم
عسرا	عسر	عسر	اسم
العسرة	عسر	عسرة	اسم
للعسرى	عسر	عسرى	اسم
عسيرا	عسر	عسير	اسم
عسعس	عسعس	عسعس	فعل
وعسى	عسي	عسى	فعل
عسيتم	عسي	عسى	فعل
فعسى	عسي	عسى	فعل
بعشر	عشر	عشرة	اسم
عشرة	عشر	عشرة	اسم
وعشرا	عشر	عشرة	اسم
عشر	عشر	عشرة	اسم
عشرون	عشر	عشرون	اسم
يامعشر	عشر	معشر	اسم
معشار	عشر	معشار	اسم
العشار	عشر	عشار	اسم
العشير	عشر	عشير	اسم
عشيرتهم	عشر	عشيرة	اسم
عشيرتك	عشر	عشيرة	اسم
وعاشروهن	عشر	عاشر	فعل
وعشيرتكم	عشر	عشيرة	اسم
بالعشي	عشو	عشية	اسم
عشاء	عشو	عشاء	اسم
والعشي	عشو	عشي	اسم
وعشيا	عشو	عشي	اسم
بالعصبة	عصب	عصبة	اسم
عصبة	عصب	عصبة	اسم
أعصر	عصر	عصر	فعل
المعصرات	عصر	معصرة	اسم
يعصرون	عصر	عصر	اسم
إعصار	عصر	إعصار	اسم
والعصر	عصر	عصر	اسم
عاصف	عصف	عاصف	اسم
عاصفة	عصف	عاصفة	اسم
فالعاصفات	عصف	عاصفة	اسم
العصف	عصف	عصف	اسم
عصفا	عصف	عصف	اسم
كعصف	عصف	عصف	اسم
واعتصموا	عصم	اعتصم	فعل
بعصم	عصم	عصمة	اسم
يعتصم	عصم	اعتصم	فعل
