pattern	singularPattern	type	nType	vType	isBrokenPlural	hasBrokenPlural	hasFem	subOf	examples	comment
pattern:fuEolAn	singularPattern:>afoEaY	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أعمى: عميان	comment: has irregular feminine faEolA'
pattern:fawoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:fawoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: كوكب : كواكب	comment:unspec
pattern:fawoEalap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:fawoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صومعة: صوامع، جوهرة: جواهر، زوبعة: زوابع	comment:unspec
pattern:fAEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:fAEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: خَاتَم: خواتم، قالب: قوالب، عالم: عوالم	comment:unspec
pattern:fAEilap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:fAEilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جائزة: جوائز، صاعقة: صواعق، حاملة: حوامل، قاعدة: قواعد	comment:unspec
pattern:faEA}il	singularPattern:fAEilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: واسطة: وسائط	comment:unspec
pattern:fAEuwlap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEiyl	singularPattern:fAEuwlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: طاحونة: طواحين، قارورة: قوارير، نافورة: نوافير	comment:unspec
pattern:faEAlap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEA}il	singularPattern:faEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: سَحابة: سحائب	comment:unspec
pattern:fuEul	singularPattern:faEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: سحابة: سحب	comment:unspec
pattern:fiEAlap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEA}il	singularPattern:fiEAlap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: رسالة: رسائل	comment:unspec
pattern:faEalA'	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAliy	singularPattern:faEalA'	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صحراء: صحاري، عذراء: عذاري	comment:unspec
pattern:faEolaY	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlaY	singularPattern:faEolaY	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: فتوى : فَتاوى	comment:unspec
pattern:faEolA'	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlaY	singularPattern:faEolA'	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صحراء: صحارى، عذراء: عذارى	comment:unspec
pattern:faEolAn	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:faEolAnap	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlaY	singularPattern:faEolAn	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: سكران: سكارى، كسلان: كسالى	comment:unspec
pattern:fuEolulap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlil	singularPattern:fuEolulap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قنبلة: قنابل	comment:unspec
pattern:fiEolilap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlil	singularPattern:fiEolilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: سلسلة: سلاسل	comment:unspec
pattern:faEoliyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAliyl	singularPattern:faEoliyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قنديل: قناديل، برميل: براميل	comment:unspec
pattern:fiEoliyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:fiEoliylap	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAliyl	singularPattern:fiEoliyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عفريت: عفاريت	comment:unspec
pattern:faEAlilap	singularPattern:fiEoliyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: زنديق: زنادقة، بطريق: بطارقة	comment:unspec
pattern:faEolaluwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAlil	singularPattern:faEolaluwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عنكبوت: عناكب	comment:unspec
pattern:mafoEil	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mafoEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مسجد: مساجد، منزل: منازل، موطن، مواطن، معرض: معارض، موقف: مواقف، موقع: مواقع، مجلس: مجالس	comment:unspec
pattern:mafAEiyl	singularPattern:mafoEil	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: موعد، مواعيد	comment:unspec
pattern:mifoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mifoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مبرد: مبارد، مقعد: مقاعد، مصعد: مصاعد	comment:unspec
pattern:mafoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mafoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ملعب: ملاعب، مطمع: مطامع، معبد: معابد، منسك: مناسك، متحف: متاحف	comment:unspec
pattern:mufoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mufoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مُصحف: مصاحف	comment:unspec
pattern:faEolal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fawAEil	singularPattern:faEolal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: جوهر: جواهر	comment:unspec
pattern:fayoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:fayAEil	singularPattern:fayoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: صيرف: صيارف، بيرق: بيارق، فيلق: فيالق، نيزك: نيازك، بيدق: بيادق	comment:unspec
pattern:>afoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afAEil	singularPattern:>afoEal	type:brokenPlural	nType:adjectival	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أكرم: أكارم، أعظم: أعاظم، أفضل: أفاضل، أرذل: أراذل، أكبر: أكابر، أصغر: أصاغر	comment:unspec
pattern:>ufoEul	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afAEil	singularPattern:>ufoEul	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أظفر: أظافر، أُنمل: أنامل	comment:unspec
pattern:<ifoEal	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afAEil	singularPattern:<ifoEal	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: إصبع : أصابع	comment:unspec
pattern:>ufoEuwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:>afAEiyl	singularPattern:>ufoEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: أسلوب : أساليب ، أنبوب : أنابيب	comment:unspec
pattern:yafoEuwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:yafAEiyl	singularPattern:yafoEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: ينبوع: ينابيع	comment:unspec
pattern:fiEolAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAliyl	singularPattern:fiEolAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: قرطاس: قراطيس، دينار: دنانير	comment:unspec
pattern:fuEoluwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:faEAliyl	singularPattern:fuEoluwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: عصفور: عصافير، زنبور: زنابير، صعلوك: صعاليك	comment:unspec
pattern:mifoEAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEiyl	singularPattern:mifoEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مفتاح: مفاتيح، مصباح: مصابيح	comment:unspec
pattern:mafoEuwl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEiyl	singularPattern:mafoEuwl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مسحوق: مساحيق، معجون: معاجين، محلول: محاليل	comment:unspec
pattern:mafoEiyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEiyl	singularPattern:mafoEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: منديل: مناديل	comment:unspec
pattern:tifoEAl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:tafAEiyl	singularPattern:tifoEAl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: تمساح: تماسيح، تمثال: تماثيل	comment:unspec
pattern:tafoEiyl	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:tafAEiyl	singularPattern:tafoEiyl	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: تجويف: تجاويف، تدريب: تداريب، تحليل: تحاليل، ترتيل: تراتيل، تغريد: تغاريد، تقويم: تقاويم	comment:unspec
pattern:mafoEilap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mafoEilap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: معصية: معاصي	comment:unspec
pattern:mafoEalap	singularPattern:unspec	type:singular_forms-broken_plural_forms	nType:unspec	vType:unspec	isBrokenPlural:no	hasBrokenPlural:yes	hasFem:unspec	subOf:unspec	examples:unspec	comment:unspec
pattern:mafAEil	singularPattern:mafoEalap	type:brokenPlural	nType:unspec	vType:unspec	isBrokenPlural:yes	hasBrokenPlural:no	hasFem:unspec	subOf:unspec	examples: مصيدة: مصائد	comment:unspec
pattern:...uwna	singularPattern:unspec	type:regular_masculine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مهزومون	comment: nominative 
pattern:...uw	singularPattern:unspec	type:regular_masculine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: متمردو	comment: nominative_compound
pattern:...iyna	singularPattern:unspec	type:regular_masculine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مهزومين	comment: accusative_genetive 
pattern:...iyona	singularPattern:unspec	type:regular_masculine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مهزومين	comment: accusative_genetive, same as above
pattern:...iy	singularPattern:unspec	type:regular_masculine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: متمردي	comment: accusative_compound 
pattern:...At	singularPattern:unspec	type:regular_feminine_plural	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مهزومات	comment:unspec
pattern:...Ani	singularPattern:unspec	type:regular_masculine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرسان	comment: nominative 
pattern:...A	singularPattern:unspec	type:regular_masculine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرسا	comment: nominative_compound 
pattern:...ayoni	singularPattern:unspec	type:regular_masculine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرسين	comment: accusative_genetive 
pattern:...ayo	singularPattern:unspec	type:regular_masculine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرسي	comment: accusative_compound 
pattern:...atAni	singularPattern:unspec	type:regular_feminine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرستان	comment: nominative 
pattern:...atA	singularPattern:unspec	type:regular_feminine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرستا	comment: nominative_compound 
pattern:...atayoni	singularPattern:unspec	type:regular_feminine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرستين	comment: accusative_genetive 
pattern:...atayo	singularPattern:unspec	type:regular_feminine_dual	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مدرستي	comment: accusative_compound 
pattern:...ap	singularPattern:unspec	type:regular_feminine_marker	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: كريم: كريمة	comment:unspec
pattern:fiEAlap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: زِراعة، قراءة، خياطة، سفارة	comment:unspec
pattern:faEalAn	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: خَفَقان، فيضان، ذوبان، غليان، طيران	comment:unspec
pattern:fuEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: صُداع ، سُعال، صراخ، عواء، زكام، دوار	comment:unspec
pattern:faEiyl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: رحيل، عَويل، صهيل	comment: sound 
pattern:fuEolap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: سُمرة ، خُضرة، صفرة، زرقة	comment: colour 
pattern:<ifoEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: إكرام، إنجاز، إعداد، إنقاذ، إجراء، إصدار	comment:unspec
pattern:tafoEiyl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: تكليم، تسليم، تحسين، تحليل، تركيب، تدريب	comment:unspec
pattern:mufAEalap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مُشَارَكَة، مباغتة، محاورة، مقاتلة، مبارزة، مناضلة	comment:unspec
pattern:faEolalap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: دَحْرَجَة، زلزلة	comment:unspec
pattern:{isotifoEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: اسْتِعْمَال، استمرار، استخراج، استفهام، استفسار	comment:unspec
pattern:tafaE~ul	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: تَعَلُّم، تصرف، تذمر، تكبر، توكل، تفكر	comment:unspec
pattern:mafoEal	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مَنْظَر	comment:unspec
pattern:mafoEil	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: مَوْعِد	comment:unspec
pattern:{inofiEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: اندفاع، انشطار، انهيار، انهزام، انتصار، انصراف، انطلاق	comment:unspec
pattern:faEol	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: ضرب، نصر، فهم	comment:unspec
pattern:fuEol	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: شكر	comment:unspec
pattern:fiEol	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: لعب	comment:unspec
pattern:{ifotiEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: افتقار، ابتكار، التماس، ابتداء، اكتساب، اجتماع	comment:unspec
pattern:fiEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: قتال، إباء	comment:unspec
pattern:fuEuwl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: قعود، صمود، صعود، نزول، جلوس	comment:unspec
pattern:fuEuwlap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: سهولة، صعوبة	comment:unspec
pattern:tafAEul	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: تماسك، تعاظم، تعادل، تواجد، تفاؤل، تمارض	comment:unspec
pattern:{isotifAlap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: استقامة	comment:unspec
pattern:faEal	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: ضجر، عطش، بطر	comment:unspec
pattern:faEAlap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: نباهة، شجاعة	comment:unspec
pattern:tafoEilap	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: تزكية، توصية، ترضية	comment:unspec
pattern:tafaEolul	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: تدحرج	comment:unspec
pattern:{ifoEilAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:unspec	examples: اصفرار	comment:unspec
pattern:{it~iEAl	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:{ifotiEAl	examples: اتحاد، اتخاذ	comment:unspec
pattern:<ifoEA'	singularPattern:unspec	type:Masdar	nType:unspec	vType:unspec	isBrokenPlural:unspec	hasBrokenPlural:unspec	hasFem:unspec	subOf:<ifoEAl	examples: إبقاء، إمضاء	comment:unspec
